Hours_Awake,Decisions_Made,Task_Switches,Avg_Decision_Time_sec,Sleep_Hours_Last_Night,Time_of_Day,Caffeine_Intake_Cups,Stress_Level_1_10,Error_Rate,Cognitive_Load_Score,Decision_Fatigue_Score,Fatigue_Level,System_Recommendation,Years_at_Company,Self_Reported_Sleep_Quality,Break_Room_Entry_Count,Water_Dispenser_Refills,Vending_Machine_Sugar_Purchases,Corporate_Gym_Entry_Mins,Peer_Collaboration_Pings,Mid_Shift_Mood_Score,Anomaly_Cohort,Decision_Density,Hydration_Ratio,Sleep_Deficit,Fatigue_Risk_Index,Experience_Group,Sleep_Group,Gym_Group,Stress_Group,Caffeine_Group,PCA_1,PCA_2,Cluster_ID,Behavioural_Archetype
2,14,4,2.42,6.4,Afternoon,2,1.0,0.001,1.2,0.0,Low,Continue,0.9,Poor,1,7,5,35,15,4.0,Active high-density resilience,7.0,2.3333333333333335,1.5999999999999996,0.8099999999999999,New (0-3),Adequate Sleep,Moderate Activity,Low,Medium,-2.876167936042719,-0.09360351666371135,1,Low Engagement
12,57,20,3.77,6.8,Night,0,1.6,0.0,3.7,59.7,Medium,Slow Down,7.3,Excellent,2,2,4,0,15,5.0,Expected trend,4.75,2.0,1.2000000000000002,22.274999999999995,Senior (7-15),Adequate Sleep,No Activity,Low,Low,0.5793913198635696,-0.11378356827202317,2,Collaborative / Balanced
6,38,8,2.88,7.5,Afternoon,1,1.5,0.0,2.4,5.6,Low,Continue,3.6,Excellent,0,5,4,45,18,5.0,Expected trend,6.333333333333333,2.5,0.5,2.915,Mid-level (3-7),Good Sleep,Moderate Activity,Low,Low,-2.024703153283829,0.35346851075309665,1,Low Engagement
2,14,4,1.3,5.8,Evening,2,1.0,0.001,1.2,0.0,Low,Continue,0.5,Poor,1,9,5,44,15,5.0,Active high-density resilience,7.0,3.0,2.2,0.93,New (0-3),Adequate Sleep,Moderate Activity,Low,Medium,-3.2311411300627024,-0.6711099701015072,1,Low Engagement
1,4,1,1.64,7.7,Evening,0,1.0,0.0,0.8,0.0,Low,Continue,0.5,Good,2,9,5,61,12,5.0,Expected trend,4.0,9.0,0.2999999999999998,0.47,New (0-3),Good Sleep,High Activity,Low,Low,-3.833142981205593,-0.0733416067474161,1,Low Engagement
12,53,19,3.19,7.1,Morning,1,1.0,0.0,3.1,52.6,Medium,Slow Down,6.8,Fair,1,5,4,0,14,5.0,Expected trend,4.416666666666667,2.5,0.9000000000000004,19.46,Mid-level (3-7),Good Sleep,No Activity,Low,Low,-0.15872202601672014,-0.10019527730092102,1,Low Engagement
12,69,21,1.65,6.7,Evening,1,3.5,0.0,5.2,65.4,Medium,Take Break,6.9,Poor,0,5,5,0,30,4.0,Expected trend,5.75,2.5,1.2999999999999998,25.065,Mid-level (3-7),Adequate Sleep,No Activity,Medium,Low,1.1690640186511019,1.2435931769510615,2,Collaborative / Balanced
17,100,28,4.14,6.0,Morning,5,2.9,0.0472,6.2,100.0,High,Take Break,11.7,Poor,2,10,1,0,14,2.0,Expected trend,5.882352941176471,1.6666666666666667,2.0,37.365,Senior (7-15),Adequate Sleep,No Activity,Low,High,4.235135585925612,-0.16984967968699646,0,Stressed / Isolated
10,48,15,2.32,5.1,Evening,1,2.3,0.0,3.6,49.4,Medium,Slow Down,4.6,Good,0,6,5,0,20,4.0,Expected trend,4.8,3.0,2.9000000000000004,19.165,Mid-level (3-7),Adequate Sleep,No Activity,Low,Low,0.05346668571073715,-0.08423071985558192,1,Low Engagement
16,74,23,3.95,5.6,Night,3,1.9,0.0414,4.5,93.2,High,Take Break,7.1,Poor,1,8,1,0,15,5.0,Expected trend,4.625,2.0,2.4000000000000004,34.474999999999994,Senior (7-15),Adequate Sleep,No Activity,Low,Medium,2.275881928275033,-1.3754520671742019,0,Stressed / Isolated
15,74,24,3.2,6.5,Morning,3,3.5,0.0,5.5,82.3,High,Take Break,11.8,Fair,3,6,5,0,47,2.0,Expected trend,4.933333333333334,1.5,1.5,31.08,Senior (7-15),Adequate Sleep,No Activity,Medium,Medium,3.2163882955950402,2.359434776124659,2,Collaborative / Balanced
15,89,22,3.87,6.2,Afternoon,0,1.1,0.0093999999999999,4.5,97.2,High,Take Break,8.5,Poor,2,2,4,0,49,5.0,Expected trend,5.933333333333334,2.0,1.7999999999999998,35.55499999999999,Senior (7-15),Adequate Sleep,No Activity,Low,Low,2.4776698330436564,0.7200036175821933,2,Collaborative / Balanced
12,58,12,3.98,4.7,Morning,1,5.4,0.0,5.6,62.6,Medium,Take Break,4.9,Fair,1,2,4,0,50,5.0,Expected trend,4.833333333333333,1.0,3.3,25.040000000000003,Mid-level (3-7),Poor Sleep,No Activity,Medium,Low,2.175721014284117,1.1169962103680655,2,Collaborative / Balanced
3,15,4,2.34,6.7,Night,3,1.0,0.0,1.2,0.0,Low,Continue,0.5,Fair,1,10,5,23,13,5.0,Expected trend,5.0,2.5,1.2999999999999998,0.75,New (0-3),Adequate Sleep,Moderate Activity,Low,Medium,-3.0820651453393353,-0.3655926403701451,1,Low Engagement
5,24,11,2.51,4.9,Afternoon,3,1.0,0.0,1.9,10.0,Low,Continue,3.6,Poor,1,10,5,0,21,4.0,Expected trend,4.8,2.5,3.0999999999999996,4.75,Mid-level (3-7),Poor Sleep,No Activity,Low,Medium,-1.6120472399532952,-0.3987067499435658,1,Low Engagement
7,25,7,2.4,5.5,Night,0,1.0,0.0,1.7,15.9,Low,Continue,3.0,Fair,0,3,5,52,17,5.0,Expected trend,3.5714285714285716,3.0,2.5,6.654999999999999,New (0-3),Adequate Sleep,High Activity,Low,Low,-2.0922067962340134,-0.6481842366256428,1,Low Engagement
9,57,13,3.07,7.0,Morning,2,4.2,0.0,4.9,34.3,Medium,Slow Down,3.5,Good,1,5,4,0,43,5.0,Expected trend,6.333333333333333,1.6666666666666667,1.0,14.235,Mid-level (3-7),Adequate Sleep,No Activity,Medium,Medium,0.5986973239798065,1.6231398206067276,2,Collaborative / Balanced
7,32,11,3.16,7.0,Night,2,1.9,0.0,2.6,11.2,Low,Continue,5.0,Good,1,6,4,0,12,5.0,Expected trend,4.571428571428571,2.0,1.0,5.114999999999999,Mid-level (3-7),Adequate Sleep,No Activity,Low,Medium,-1.542599886324212,-0.0658382682256669,1,Low Engagement
4,23,6,2.97,7.0,Afternoon,2,2.1,0.0,2.2,0.0,Low,Continue,1.5,Fair,1,7,5,0,18,5.0,Expected trend,5.75,2.3333333333333335,1.0,1.165,New (0-3),Adequate Sleep,No Activity,Low,Medium,-2.226799864309709,0.18816918904743,1,Low Engagement
14,54,16,3.5,5.0,Evening,5,1.0,0.0,3.0,64.1,Medium,Take Break,6.0,Poor,5,10,4,0,11,3.0,Expected trend,3.857142857142857,1.6666666666666667,3.0,23.884999999999998,Mid-level (3-7),Poor Sleep,No Activity,Low,High,1.2473109802216358,-0.6620521179765473,2,Collaborative / Balanced
9,47,10,2.09,5.3,Evening,0,1.0,0.0,2.5,39.7,Medium,Slow Down,3.1,Poor,2,4,5,23,14,5.0,Expected trend,5.222222222222222,4.0,2.7,15.184999999999999,Mid-level (3-7),Adequate Sleep,Moderate Activity,Low,Low,-0.9278966325871146,-0.936699921859858,1,Low Engagement
2,5,0,2.65,8.9,Afternoon,0,1.0,0.0,0.8,0.0,Low,Continue,2.8,Fair,1,7,5,51,13,4.0,Expected trend,2.5,7.0,0.0,0.41000000000000003,New (0-3),Good Sleep,High Activity,Low,Low,-3.6715601782522906,0.8291745416185138,1,Low Engagement
15,71,23,2.38,6.1,Afternoon,1,1.9,0.0,4.4,86.5,High,Take Break,9.2,Good,4,8,4,0,35,3.0,Expected trend,4.733333333333333,4.0,1.9000000000000004,32.01,Senior (7-15),Adequate Sleep,No Activity,Low,Low,2.2880578737490156,1.0156610641946375,2,Collaborative / Balanced
7,31,14,2.5,5.8,Afternoon,1,2.2,0.0,3.0,23.4,Low,Continue,4.0,Fair,2,8,4,0,23,5.0,Expected trend,4.428571428571429,4.0,2.2,9.78,Mid-level (3-7),Adequate Sleep,No Activity,Low,Low,-0.8448959913449388,-0.09880085264255493,1,Low Engagement
12,70,14,3.56,6.7,Afternoon,0,1.9,0.0,3.9,59.5,Medium,Slow Down,6.8,Fair,0,1,3,0,42,3.0,Expected trend,5.833333333333333,1.0,1.2999999999999998,22.340000000000003,Mid-level (3-7),Adequate Sleep,No Activity,Low,Low,1.0826945988901042,1.7152002989450263,2,Collaborative / Balanced
8,40,13,3.87,5.1,Morning,1,1.0,0.0,2.4,35.1,Medium,Slow Down,3.4,Poor,0,7,4,47,20,5.0,Expected trend,5.0,3.5,2.9000000000000004,13.595,Mid-level (3-7),Adequate Sleep,High Activity,Low,Low,-0.7425401644911513,-0.6572731522894532,1,Low Engagement
15,78,28,3.58,5.0,Morning,2,4.4,0.0375999999999999,6.4,100.0,High,Take Break,11.5,Poor,6,6,4,0,17,2.0,Expected trend,5.2,2.0,3.0,37.980000000000004,Senior (7-15),Poor Sleep,No Activity,Medium,Medium,4.587179863197578,-0.2043589731131041,0,Stressed / Isolated
3,14,2,2.54,4.8,Evening,1,3.0,0.0,2.3,0.0,Low,Continue,0.5,Poor,3,3,5,34,13,5.0,Expected trend,4.666666666666667,1.5,3.2,1.85,New (0-3),Poor Sleep,Moderate Activity,Low,Low,-1.9502203656948283,-0.8880680536856951,1,Low Engagement
14,74,27,2.79,7.7,Afternoon,1,2.0,0.0,4.8,77.3,High,Take Break,8.8,Excellent,4,7,5,0,53,3.0,Expected trend,5.285714285714286,3.5,0.2999999999999998,28.574999999999996,Senior (7-15),Good Sleep,No Activity,Low,Low,2.4974715990844123,2.4779158471969365,2,Collaborative / Balanced
17,72,15,2.59,4.7,Evening,5,1.0,0.0654,3.5,88.6,High,Take Break,6.3,Poor,2,10,5,0,15,5.0,Expected trend,4.235294117647059,1.6666666666666667,3.3,32.61999999999999,Mid-level (3-7),Poor Sleep,No Activity,Low,High,1.711179263448133,-2.5173892524920993,0,Stressed / Isolated
4,27,10,2.33,5.4,Evening,1,1.1,0.001,2.0,0.0,Low,Continue,5.1,Fair,0,6,5,49,14,4.0,Active high-density resilience,6.75,3.0,2.5999999999999996,1.1949999999999998,Mid-level (3-7),Adequate Sleep,High Activity,Low,Low,-2.091211569983768,-0.4131969452233223,1,Low Engagement
8,39,9,2.97,6.4,Morning,1,1.9,0.0,2.8,22.1,Low,Continue,3.9,Poor,0,4,4,0,11,5.0,Expected trend,4.875,2.0,1.5999999999999996,9.090000000000002,Mid-level (3-7),Adequate Sleep,No Activity,Low,Low,-1.3756633464660648,-0.3284109913502354,1,Low Engagement
4,24,11,2.51,7.0,Night,1,1.0,0.001,1.9,0.0,Low,Continue,4.2,Good,3,6,4,54,8,4.0,Active high-density resilience,6.0,3.0,1.0,0.8300000000000001,Mid-level (3-7),Adequate Sleep,High Activity,Low,Low,-2.08191095777527,-0.15651569890887124,1,Low Engagement
2,4,2,1.65,7.8,Evening,3,1.0,0.0,0.8,0.0,Low,Continue,0.5,Fair,1,8,5,43,14,5.0,Expected trend,2.0,2.0,0.20000000000000018,0.45000000000000007,New (0-3),Good Sleep,Moderate Activity,Low,Medium,-3.827197643180622,0.09825755179947095,1,Low Engagement
6,33,11,3.68,6.7,Morning,3,1.1,0.0,2.2,7.7,Low,Continue,2.2,Poor,1,6,4,41,16,5.0,Expected trend,5.5,1.5,1.2999999999999998,3.6699999999999995,New (0-3),Adequate Sleep,Moderate Activity,Low,Medium,-1.637562951263411,-0.16173318236855877,1,Low Engagement
10,53,28,2.3,6.0,Morning,2,1.8,0.0,4.1,59.8,Medium,Slow Down,10.1,Fair,1,8,5,0,37,4.0,Expected trend,5.3,2.6666666666666665,2.0,22.599999999999994,Senior (7-15),Adequate Sleep,No Activity,Low,Medium,0.9758544804418873,0.9299857054338216,2,Collaborative / Balanced
4,15,3,4.2,6.0,Evening,1,1.0,0.0,1.2,0.0,Low,Continue,0.5,Excellent,1,3,1,33,15,5.0,Expected trend,3.75,1.5,2.0,0.89,New (0-3),Adequate Sleep,Moderate Activity,Low,Low,-2.4468367922443517,-0.5819104561224123,1,Low Engagement
12,61,19,2.69,5.9,Afternoon,2,2.4,0.0,4.2,61.9,Medium,Take Break,9.2,Excellent,2,10,5,21,42,3.0,Expected trend,5.083333333333333,3.3333333333333335,2.0999999999999996,23.525,Senior (7-15),Adequate Sleep,Moderate Activity,Low,Medium,1.515088734904016,1.4085744000777927,2,Collaborative / Balanced
2,10,2,1.74,8.1,Morning,1,1.0,0.0,1.0,0.0,Low,Continue,1.3,Excellent,1,5,4,30,13,5.0,Expected trend,5.0,2.5,0.0,0.45,New (0-3),Good Sleep,Moderate Activity,Low,Low,-3.7440376787367056,0.19131481566438693,1,Low Engagement
10,43,12,2.8,5.5,Morning,1,1.0,0.0,2.5,41.0,Medium,Slow Down,2.2,Fair,0,4,5,0,15,4.0,Expected trend,4.3,2.0,2.5,15.6,New (0-3),Adequate Sleep,No Activity,Low,Low,-0.7219306307873531,-0.38185308509455584,1,Low Engagement
4,19,5,2.38,6.0,Evening,2,1.0,0.0,1.4,0.0,Low,Continue,2.5,Fair,0,9,4,20,19,3.0,Expected trend,4.75,3.0,2.0,0.93,New (0-3),Adequate Sleep,Low Activity,Low,Medium,-2.399864913868424,0.31160970051913073,1,Low Engagement
14,74,29,2.85,5.4,Afternoon,3,2.8,0.0087999999999999,5.3,93.8,High,Take Break,11.0,Fair,3,10,5,0,46,3.0,Expected trend,5.285714285714286,2.5,2.5999999999999996,35.11000000000001,Senior (7-15),Adequate Sleep,No Activity,Low,Medium,3.270792194053871,1.2505865040587605,2,Collaborative / Balanced
16,68,24,3.24,5.4,Night,1,3.6,0.014080000000000002,5.4,96.7,High,Take Break,8.6,Fair,3,5,4,0,45,4.8,Night peer-support buffer,4.25,2.5,2.5999999999999996,36.345,Senior (7-15),Adequate Sleep,No Activity,Medium,Low,3.112442099053028,0.5929525488394423,2,Collaborative / Balanced
15,69,22,3.56,4.6,Afternoon,5,3.0,0.034,5.0,88.3,High,Take Break,9.7,Fair,7,10,5,34,18,4.0,Expected trend,4.6,1.6666666666666667,3.4000000000000004,33.335,Senior (7-15),Poor Sleep,Moderate Activity,Low,High,3.3354054076597506,-1.2670485713006525,0,Stressed / Isolated
8,33,6,3.29,6.1,Night,1,1.0,0.0,1.9,16.9,Low,Continue,3.9,Fair,1,5,3,43,12,5.0,Expected trend,4.125,2.5,1.9000000000000004,6.924999999999999,Mid-level (3-7),Adequate Sleep,Moderate Activity,Low,Low,-1.726693494768924,-0.652514072703818,1,Low Engagement
14,72,23,2.64,4.8,Afternoon,1,1.0,0.0153999999999999,3.9,93.6,High,Take Break,10.6,Poor,1,6,5,42,45,4.0,Expected trend,5.142857142857143,3.0,3.2,34.43,Senior (7-15),Poor Sleep,Moderate Activity,Low,Low,2.0238308777328347,0.20905683485615295,2,Collaborative / Balanced
8,47,16,0.89,5.7,Afternoon,4,1.5,0.0,3.1,32.2,Low,Slow Down,5.1,Poor,0,10,5,0,15,5.0,Expected trend,5.875,2.0,2.3,12.725000000000001,Mid-level (3-7),Adequate Sleep,No Activity,Low,High,-1.2075875591782863,-0.4772975584918776,1,Low Engagement
16,77,29,2.24,5.5,Morning,3,1.7,0.0266,4.8,100.0,High,Take Break,11.1,Poor,1,9,5,0,50,3.0,Expected trend,4.8125,2.25,2.5,36.885,Senior (7-15),Adequate Sleep,No Activity,Low,Medium,3.0035140703548246,0.9702771590966186,2,Collaborative / Balanced
13,66,16,2.95,4.8,Afternoon,4,3.9,0.0053999999999999,5.1,70.0,High,Take Break,6.9,Fair,2,10,5,25,42,5.0,Expected trend,5.076923076923077,2.0,3.2,27.135,Mid-level (3-7),Poor Sleep,Moderate Activity,Medium,High,2.0112585459382233,0.4263236540365424,2,Collaborative / Balanced
15,86,26,2.99,5.1,Morning,3,4.7,0.0343999999999999,6.7,100.0,High,Take Break,11.9,Fair,3,8,3,36,11,2.0,Expected trend,5.733333333333333,2.0,2.9000000000000004,38.095,Senior (7-15),Adequate Sleep,Moderate Activity,Medium,Medium,4.098799381019222,-0.14648012818831158,0,Stressed / Isolated
13,58,24,3.07,5.0,Afternoon,4,1.0,0.0,3.5,74.8,High,Take Break,8.9,Fair,7,9,5,0,10,4.0,Expected trend,4.461538461538462,1.8,3.0,27.729999999999997,Senior (7-15),Poor Sleep,No Activity,Low,High,1.7148034084218156,-1.0716624422503838,2,Collaborative / Balanced
9,48,24,2.1,5.2,Morning,0,2.4,0.0,4.1,57.4,Medium,Slow Down,9.3,Poor,2,4,5,0,43,5.0,Expected trend,5.333333333333333,4.0,2.8,22.07,Senior (7-15),Adequate Sleep,No Activity,Low,Low,0.8610452094644053,0.5420062858394019,2,Collaborative / Balanced
15,83,26,3.6,5.5,Afternoon,4,4.4,0.0478,6.4,96.8,High,Take Break,8.7,Poor,7,8,3,0,19,4.0,Expected trend,5.533333333333333,1.6,2.5,36.76,Senior (7-15),Adequate Sleep,No Activity,Medium,High,4.318744837937155,-0.8438309633187708,0,Stressed / Isolated
13,63,17,3.87,7.0,Morning,2,1.0,0.0,3.3,58.0,Medium,Slow Down,5.0,Fair,2,6,3,0,9,4.0,Expected trend,4.846153846153846,2.0,1.0,21.409999999999997,Mid-level (3-7),Adequate Sleep,No Activity,Low,Medium,0.49840544300890033,-0.07408284168802433,2,Collaborative / Balanced
1,6,1,2.08,6.0,Afternoon,0,1.0,0.0,0.8,0.0,Low,Continue,1.6,Poor,3,3,5,35,23,4.0,Expected trend,6.0,3.0,2.0,0.81,New (0-3),Adequate Sleep,Moderate Activity,Low,Low,-2.936761041688979,-0.04400686588879157,1,Low Engagement
7,30,12,2.97,5.8,Afternoon,3,1.0,0.0,2.1,16.3,Low,Continue,6.8,Poor,3,6,5,27,17,3.0,Expected trend,4.285714285714286,1.5,2.2,6.815,Mid-level (3-7),Adequate Sleep,Moderate Activity,Low,Medium,-0.8954598408429357,0.04273111084669501,1,Low Engagement
9,30,11,3.92,4.1,Evening,6,2.4,0.035,14.9,27.5,Low,Continue,4.3,Good,0,10,4,0,16,4.0,Masked continue risk,3.3333333333333335,1.4285714285714286,3.9000000000000004,13.985,Mid-level (3-7),Poor Sleep,No Activity,Low,High,2.3929418402540255,-0.7550843226339433,0,Stressed / Isolated
1,3,1,1.89,9.0,Evening,0,1.0,0.0,0.7,0.0,Low,Continue,1.9,Good,1,5,5,42,23,5.0,Expected trend,3.0,5.0,0.0,0.39,New (0-3),Good Sleep,Moderate Activity,Low,Low,-4.00548777447598,0.9472185346333247,1,Low Engagement
12,65,20,2.2,4.0,Evening,4,1.0,0.0299999999999999,3.6,76.6,High,Take Break,8.5,Poor,3,8,5,0,13,4.0,Expected trend,5.416666666666667,1.6,4.0,28.579999999999995,Senior (7-15),Poor Sleep,No Activity,Low,High,1.3670645982842144,-1.802695103327218,0,Stressed / Isolated
8,46,13,1.73,5.5,Afternoon,2,2.6,0.0,3.6,33.3,Medium,Slow Down,4.2,Excellent,1,10,5,0,22,5.0,Expected trend,5.75,3.3333333333333335,2.5,13.524999999999999,Mid-level (3-7),Adequate Sleep,No Activity,Low,Medium,-0.5666076552177628,-0.1485568067185467,1,Low Engagement
11,66,24,3.8,6.5,Evening,4,2.1,0.0,4.4,58.9,Medium,Slow Down,10.1,Good,0,9,3,0,37,2.0,Expected trend,6.0,1.8,1.5,22.319999999999997,Senior (7-15),Adequate Sleep,No Activity,Low,High,1.7109516670535156,1.8815438275073544,2,Collaborative / Balanced
17,96,30,4.42,6.6,Afternoon,6,3.6,0.0,6.5,100.0,High,Take Break,14.3,Fair,4,10,2,0,45,2.0,Expected trend,5.647058823529412,1.4285714285714286,1.4000000000000004,37.48,Senior (7-15),Adequate Sleep,No Activity,Medium,High,4.712622378843033,2.335616301613126,2,Collaborative / Balanced
8,53,12,3.42,5.9,Evening,3,1.0,0.0,2.8,31.2,Low,Slow Down,4.7,Fair,1,7,5,0,9,4.0,Expected trend,6.625,1.75,2.0999999999999996,12.15,Mid-level (3-7),Adequate Sleep,No Activity,Low,Medium,-0.644980734328135,-0.46812026245018573,1,Low Engagement
3,8,4,3.43,7.3,Afternoon,0,1.0,0.0,1.0,0.0,Low,Continue,3.9,Fair,0,2,5,49,18,5.0,Expected trend,2.6666666666666665,2.0,0.7000000000000002,0.5900000000000001,Mid-level (3-7),Good Sleep,High Activity,Low,Low,-3.1183084195593196,0.12017382472666537,1,Low Engagement
3,15,3,2.41,5.6,Afternoon,0,1.1,0.0,1.3,0.0,Low,Continue,0.5,Poor,2,5,4,65,17,5.0,Expected trend,5.0,5.0,2.4000000000000004,1.0150000000000001,New (0-3),Adequate Sleep,High Activity,Low,Low,-2.696808504471281,-0.6887867741823911,1,Low Engagement
1,5,3,2.22,7.0,Evening,3,1.0,0.0,0.9,0.0,Low,Continue,2.4,Good,1,7,5,64,13,5.0,Expected trend,5.0,1.75,1.0,0.6300000000000001,New (0-3),Adequate Sleep,High Activity,Low,Medium,-3.5609942255171183,-0.25597819663895327,1,Low Engagement
5,27,10,2.93,6.2,Afternoon,3,1.0,0.0,1.9,2.0,Low,Continue,4.1,Fair,0,8,5,42,21,5.0,Expected trend,5.4,2.0,1.7999999999999998,1.69,Mid-level (3-7),Adequate Sleep,Moderate Activity,Low,Medium,-2.12812080343564,-0.1404898435043385,1,Low Engagement
10,45,12,3.9,7.3,Afternoon,3,4.6,0.0,4.7,27.3,Low,Continue,4.4,Good,1,8,5,0,42,4.0,Expected trend,4.5,2.0,0.7000000000000002,11.785,Mid-level (3-7),Good Sleep,No Activity,Medium,Medium,0.7445238945904539,2.09092788641805,2,Collaborative / Balanced
7,32,8,3.73,6.4,Morning,2,1.0,0.0,2.0,11.4,Low,Continue,3.3,Good,2,6,4,57,9,4.0,Expected trend,4.571428571428571,2.0,1.5999999999999996,4.960000000000001,Mid-level (3-7),Adequate Sleep,High Activity,Low,Medium,-1.4450864646987593,-0.3372312820818962,1,Low Engagement
9,43,9,0.68,6.2,Evening,1,5.2,0.0035999999999999,4.9,29.1,Low,Continue,0.6,Good,2,7,5,0,44,4.0,Expected trend,4.777777777777778,3.5,1.7999999999999998,12.825000000000001,New (0-3),Adequate Sleep,No Activity,Medium,Low,0.2780300852260875,1.6846562263964977,2,Collaborative / Balanced
7,32,8,2.17,6.5,Afternoon,2,1.0,0.0,2.0,10.7,Low,Continue,2.9,Fair,2,7,5,0,10,5.0,Expected trend,4.571428571428571,2.3333333333333335,1.5,4.694999999999999,New (0-3),Adequate Sleep,No Activity,Low,Medium,-2.022797481256376,-0.5856992758792111,1,Low Engagement
9,55,16,3.79,6.7,Night,2,4.7,0.0,5.3,38.3,Medium,Slow Down,6.9,Good,2,8,5,0,37,5.0,Expected trend,6.111111111111111,2.6666666666666665,1.2999999999999998,15.899999999999999,Mid-level (3-7),Adequate Sleep,No Activity,Medium,Medium,1.1791017352293818,1.3180955533320018,2,Collaborative / Balanced
8,38,14,2.33,5.4,Night,6,5.0,0.001,4.8,23.3,Low,Continue,7.8,Poor,2,10,5,0,43,5.8,Night peer-support buffer,4.75,1.4285714285714286,2.5999999999999996,10.884999999999998,Senior (7-15),Adequate Sleep,No Activity,Medium,High,0.38971131901868566,0.7794801139485631,2,Collaborative / Balanced
12,66,23,4.37,6.1,Morning,2,1.0,0.0,3.7,68.9,High,Take Break,8.4,Good,1,3,2,0,11,4.0,Expected trend,5.5,1.0,1.9000000000000004,25.485,Senior (7-15),Adequate Sleep,No Activity,Low,Medium,1.0929720681640442,-0.27469966290233927,2,Collaborative / Balanced
2,17,7,2.63,5.7,Afternoon,0,1.3,0.0,1.6,0.0,Low,Continue,1.6,Fair,1,4,3,48,12,5.0,Expected trend,8.5,4.0,2.3,1.105,New (0-3),Adequate Sleep,High Activity,Low,Low,-2.6334608069016845,-0.7287185736243251,1,Low Engagement
